1 2 2 0
2 8 6 1
3 20 12 4
4 40 20 10
5 70 30 20
6 112 42 35
7 168 56 56
8 240 72 84
9 330 90 120
10 440 110 165
11 572 132 220
12 728 156 286
13 910 182 364
14 1120 210 455
15 1360 240 560
16 1632 272 680
17 1938 306 816
18 2280 342 969
19 2660 380 1140
20 3080 420 1330
21 3542 462 1540
22 4048 506 1771
23 4600 552 2024
24 5200 600 2300
25 5850 650 2600
26 6552 702 2925
27 7308 756 3276
28 8120 812 3654
29 8990 870 4060
30 9920 930 4495
31 10912 992 4960
32 11968 1056 5456
33 13090 1122 5984
34 14280 1190 6545
35 15540 1260 7140
36 16872 1332 7770
37 18278 1406 8436
38 19760 1482 9139
39 21320 1560 9880
40 22960 1640 10660
41 24682 1722 11480
42 26488 1806 12341
43 28380 1892 13244
44 30360 1980 14190
45 32430 2070 15180
46 34592 2162 16215
47 36848 2256 17296
48 39200 2352 18424
49 41650 2450 19600
50 44200 2550 20825
51 46852 2652 22100
52 49608 2756 23426
53 52470 2862 24804
54 55440 2970 26235
55 58520 3080 27720
56 61712 3192 29260
57 65018 3306 30856
58 68440 3422 32509
59 71980 3540 34220
60 75640 3660 35990
61 79422 3782 37820
62 83328 3906 39711
63 87360 4032 41664
64 91520 4160 43680
65 95810 4290 45760
66 100232 4422 47905
67 104788 4556 50116
68 109480 4692 52394
69 114310 4830 54740
70 119280 4970 57155
71 124392 5112 59640
72 129648 5256 62196
73 135050 5402 64824
74 140600 5550 67525
75 146300 5700 70300
76 152152 5852 73150
77 158158 6006 76076
78 164320 6162 79079
79 170640 6320 82160
80 177120 6480 85320
81 183762 6642 88560
82 190568 6806 91881
83 197540 6972 95284
84 204680 7140 98770
85 211990 7310 102340
86 219472 7482 105995
87 227128 7656 109736
88 234960 7832 113564
89 242970 8010 117480
90 251160 8190 121485
91 259532 8372 125580
92 268088 8556 129766
93 276830 8742 134044
94 285760 8930 138415
95 294880 9120 142880
96 304192 9312 147440
97 313698 9506 152096
98 323400 9702 156849
99 333300 9900 161700
100 343400 10100 166650
101 353702 10302 171700
102 364208 10506 176851
103 374920 10712 182104
104 385840 10920 187460
105 396970 11130 192920
106 408312 11342 198485
107 419868 11556 204156
108 431640 11772 209934
109 443630 11990 215820
110 455840 12210 221815
111 468272 12432 227920
112 480928 12656 234136
113 493810 12882 240464
114 506920 13110 246905
115 520260 13340 253460
116 533832 13572 260130
117 547638 13806 266916
118 561680 14042 273819
119 575960 14280 280840
120 590480 14520 287980
121 605242 14762 295240
122 620248 15006 302621
123 635500 15252 310124
124 651000 15500 317750
125 666750 15750 325500
126 682752 16002 333375
127 699008 16256 341376
128 715520 16512 349504
129 732290 16770 357760
130 749320 17030 366145
131 766612 17292 374660
132 784168 17556 383306
133 801990 17822 392084
134 820080 18090 400995
